preset_name,amp_attack,amp_decay,amp_sustain,amp_release,osc1_waveform,filter_attack,filter_decay,filter_sustain,filter_release,filter_resonance,filter_env_amount,filter_cutoff,osc2_detune,osc2_waveform,master_vol,lfo_freq,lfo_waveform,osc2_range,osc_mix,freq_mod_amount,filter_mod_amount,amp_mod_amount,osc_mix_mode,osc1_pulsewidth,osc2_pulsewidth,reverb_roomsize,reverb_damp,reverb_wet,reverb_width,distortion_crunch,osc2_sync,portamento_time,keyboard_mode,osc2_pitch,filter_type,filter_slope,freq_mod_osc,filter_kbd_track,filter_vel_sens,amp_vel_sens,portamento_mode
BrainWaves2,0.0333333,1.35834,0,0.806917,3,0,1.09167,0,0.858333,0.885984,12.0458,0.507874,0.0333333,1,0.480315,1.86102,1,1,0.574803,1.25992,0.52,-1,0,1,0.0708661,0.223334,0.88,0.18,1,0,0,0,0,0,0,1,,,,,
BrainWaves3,0.0333333,1.35834,0,0.806917,3,0,1.09167,0,0.858333,0.885984,12.0458,0.507874,0.0333333,2,0.277953,1.86102,1,1,0.574803,1.25992,0.52,-1,0,1,1,0.223334,0.88,0.18,1,0.339,1,0,0,0,0,1,,,,,
BrainWaves4,0.0333333,1.35834,0,0.956917,3,0,1.09167,0,0.858333,0.885984,12.0458,0.507874,0.0333333,2,0.464619,1.86102,1,0,0.574803,1.25992,0.52,-1,0,1,1,0.223334,0.88,0.18,1,0.117,1,0,0,0,0,0,,,,,
DirectHit,0.0333333,1.35834,0,0.806917,3,0,1.23333,0,0.858333,0.90126,12.0458,1.38976,0.0333333,3,0.480315,4.31102,1,2,0.00787402,0,0.0466664,-1,0,1,0.99,0.223334,0.88,0.18,1,0,0,0,0,0,0,1,,,,,
Exponential,0.233334,0,0.806667,1.08657,2,0,1.575,0,2.17063,0.818033,-5.76,1.24006,0.0133333,3,0.721943,2.00787,0,1,-0.779528,0,0.0266667,-0.380001,0,0.87,0.683334,0.305373,0.883347,0.266069,1,0.105,0,0,0,0,0,1,,,,,
GoodNews,0.175,1.02501,0,0.631917,1,0.241667,0.475,0.0733337,1.575,0.744476,11.9685,0.300001,0.02,2,0.560026,1.77165,0,0,0.291339,0,0.826667,-1,0,0.0878003,1,0,0.88,0,1,0,0,0,0,0,0,1,,,,,
JungleNites,0.0333333,1.70001,0,0.806917,0,0.0916667,0.65,0.786667,0.858333,0.97,7.78247,1.35827,0.0333333,0,0.480315,7.5,1,1,-0.211637,0,-0.446667,-1,0,1,0.99,0.223334,0.88,0.18,1,0,0,0,0,0,0,1,,,,,
MyBand01,0,0.950003,0,0.256923,1,0.633333,1.90833,0.386667,0.541667,0.733228,-11.2126,1.5,-0.04,2,0.925302,0,0,-1,-0.11811,0.0755953,-0.233333,-0.04,0,0.756667,0.818898,0,0.88,0,1,0.084,1,0,0,0,0,1,,,,,
NotScared,0,0.952987,0,0.461062,1,0.00833364,0.941666,0.0591347,0.96327,0.788933,1.6378,0.841472,0.338583,1,0.616234,0,6,-1,-1,0,-1,-1,1,0.8,0.152881,0,0.310589,0.187636,1,0,0,0,0,-11,0,1,,,,,
pacifist,0.0333333,1.29168,0,0.840253,2,0.0916667,0.65,0.786667,1.225,0.771417,4.66142,1.1063,0.0333333,1,0.508635,4.66535,1,0,-0.0983033,0,-0.446667,-1,0,1,0,0.283334,0.88,0.19,1,0,0,0.00666667,0,0,0,1,,,,,
PiccoloString2,0.5,0.683343,0.873333,0.406921,2,0.0916667,0,1,1.975,0.122205,2.55997,0.486667,0.0133336,2,0.536233,2.675,0,2,0.6,0,-0.513333,-1,0,0.706667,0.8,0,0,0,1,0,0,0,0,0,1,1,,,,,
HomeAtLast6,0.475,1.35,0.86,1.18333,2,1.09167,1.15,0.523333,0.774993,0.244409,3.57795,0.838583,0.04,2,0.61399,3.25,3,1,-0.341942,0.0209985,-1,-0.793333,0,0.472441,0.897638,0.176666,0.95,0.12,1,0,0,0,0,7,2,0,,,,,
Metamorphosis1,0.166538,0,0.842909,0.292633,0,0.209349,0.708077,0.845454,0.0254333,0.908898,-8.94488,0.649606,-0.361226,1,0.480315,0,2,0,0.385827,0,-0.314058,-0.264982,1,0.320647,0.685039,0.132826,0.611981,0.125889,1,0.129665,1,0,0,-7,1,0,,,,,
